iter	RMSE
0	8803.718754
1	7958.133996
2	7211.274986
3	6545.126291
4	5949.634735
5	5428.338401
6	4965.619456
7	4557.769753
8	4197.876287
9	3884.168353
10	3605.825264
11	3365.726245
12	3158.378721
13	2977.455063
14	2822.369047
15	2687.820118
16	2574.860447
17	2478.015587
18	2394.590428
19	2324.397537
20	2266.558328
21	2215.684747
22	2175.211665
23	2139.96411
24	2100.743271
25	2069.736039
26	2042.015359
27	2019.619613
28	1999.283339
29	1983.205559
30	1968.983857
31	1956.616075
32	1943.736577
33	1934.1761
34	1925.963112
35	1918.772138
36	1909.711234
37	1902.868553
38	1896.085565
39	1888.58
40	1882.024962
41	1876.990983
42	1872.562355
43	1866.258431
44	1861.331611
45	1856.506309
46	1853.635083
47	1848.624376
48	1844.404202
49	1841.450879
50	1838.520668
51	1835.143066
52	1832.289715
53	1830.242558
54	1827.700482
55	1825.059856
56	1823.160944
57	1821.748654
58	1818.590617
59	1816.381607
60	1813.206047
61	1809.409525
62	1807.602703
63	1805.098514
64	1801.472888
65	1799.509892
66	1797.555589
67	1795.462311
68	1793.717712
69	1791.702708
70	1790.444561
71	1788.055405
72	1785.796198
73	1783.789415
74	1781.801683
75	1780.265786
76	1778.368383
77	1776.63514
78	1775.459685
79	1774.385771
80	1772.971661
81	1772.052765
82	1770.168191
83	1768.165556
84	1767.626646
85	1764.846004
86	1763.809656
87	1762.756835
88	1761.855657
89	1759.7097
90	1758.66812
91	1757.02608
92	1756.092886
93	1755.367341
94	1754.003449
95	1752.287914
96	1750.134461
97	1748.821768
98	1747.43243
99	1746.252776
100	1745.095351
101	1744.129061
102	1743.047824
103	1742.231489
104	1741.104395
105	1740.115934
106	1737.37443
107	1736.588098
108	1735.44498
109	1734.575874
110	1733.481572
111	1732.119191
112	1731.269404
113	1730.755654
114	1730.015909
115	1729.26277
116	1728.364146
117	1726.739606
118	1725.553185
119	1724.763144
120	1724.10054
121	1723.647469
122	1722.716702
123	1722.073671
124	1721.28042
125	1719.723004
126	1719.186963
127	1717.51369
128	1716.951139
129	1715.318125
130	1714.390596
131	1713.441793
132	1712.829022
133	1711.980353
134	1711.245967
135	1710.790049
136	1709.432272
137	1707.604758
138	1705.419027
139	1704.89266
140	1704.370763
141	1704.049589
142	1703.633252
143	1702.338758
144	1700.815397
145	1700.251804
146	1699.226828
147	1698.568951
148	1698.07999
149	1695.945719
150	1695.431989
151	1694.412245
152	1693.964076
153	1692.34974
154	1691.442839
155	1690.845582
156	1690.0692
157	1689.609955
158	1688.403988
159	1687.655744
160	1687.197351
161	1686.868404
162	1686.701665
163	1685.837349
164	1685.33136
165	1684.587977
166	1683.534115
167	1683.103729
168	1682.683246
169	1681.634462
170	1680.274773
171	1679.884687
172	1679.12237
173	1678.899932
174	1678.422076
175	1678.159825
176	1677.620345
177	1677.200094
178	1676.427133
179	1674.598117
180	1673.566311
181	1672.623329
182	1671.968421
183	1671.707236
184	1671.481157
185	1670.81426
186	1670.246084
187	1669.669465
188	1669.301509
189	1668.913589
190	1668.602521
191	1667.426482
192	1667.230551
193	1666.802531
194	1665.879536
195	1665.154243
196	1664.335118
197	1663.90235
198	1663.577424
199	1663.192232
200	1662.841893
201	1662.300183
202	1662.134531
203	1661.77803
204	1660.906176
205	1660.399295
206	1659.816959
207	1659.595877
208	1659.232411
209	1658.95504
210	1658.360015
211	1657.643739
212	1657.472748
213	1657.185161
214	1656.867954
215	1656.398554
216	1656.308895
217	1656.05488
218	1655.727188
219	1654.200243
220	1653.864415
221	1653.453037
222	1653.196088
223	1653.00696
224	1652.409951
225	1652.051838
226	1651.756187
227	1651.46838
228	1651.380483
229	1650.934453
230	1650.636072
231	1649.863476
232	1649.540207
233	1649.250409
234	1648.968834
235	1648.649777
236	1648.407873
237	1647.490497
238	1646.685338
239	1645.787203
240	1645.613213
241	1645.491211
242	1644.956523
243	1644.386806
244	1644.086345
245	1643.626656
246	1642.996098
247	1642.620932
248	1641.699429
249	1641.44476
250	1640.880226
251	1640.73067
252	1640.454471
253	1640.034409
254	1639.395318
255	1639.001501
256	1638.708707
257	1638.436871
258	1638.204349
259	1637.682095
260	1636.69662
261	1635.388252
262	1635.109129
263	1634.557677
264	1634.398526
265	1634.121106
266	1633.856425
267	1633.694626
268	1633.542151
269	1632.996519
270	1632.904029
271	1632.076758
272	1631.892794
273	1631.796163
274	1631.540626
275	1631.051218
276	1630.304227
277	1630.054568
278	1629.725624
279	1629.349425
280	1629.121932
281	1628.805777
282	1628.633525
283	1628.330415
284	1628.172159
285	1627.376822
286	1627.219388
287	1626.946574
288	1626.550531
289	1626.082846
290	1625.884155
291	1625.734887
292	1625.44268
293	1625.19853
294	1624.727819
295	1624.451181
296	1624.229595
297	1624.049814
298	1623.500864
299	1623.328044
300	1622.635737
301	1622.048205
302	1620.728391
303	1620.362176
304	1620.255658
305	1619.623296
306	1619.329263
307	1619.096912
308	1618.776967
309	1618.078248
310	1617.939564
311	1617.489539
312	1617.20507
313	1617.059729
314	1616.613249
315	1616.334965
316	1615.900433
317	1615.741759
318	1615.703014
319	1615.181906
320	1614.888916
321	1614.296307
322	1613.902514
323	1613.779675
324	1613.555956
325	1613.393248
326	1612.932573
327	1612.75218
328	1612.214652
329	1612.042802
330	1611.91864
331	1611.108107
332	1610.878864
333	1610.496048
334	1610.142733
335	1609.993005
336	1609.561033
337	1609.400537
338	1608.609324
339	1607.765223
340	1607.044812
341	1606.706963
342	1605.861725
343	1605.664833
344	1605.179672
345	1604.962066
346	1604.502557
347	1604.370518
348	1604.247589
349	1603.787331
350	1603.479025
351	1603.40476
352	1603.310245
353	1603.169714
