iter	Passed	Remaining
0	597	597175
1	1268	633057
2	1931	641979
3	2488	619599
4	2953	587675
5	3413	565503
6	3847	545865
7	4362	540895
8	4803	528915
9	5176	512472
10	5495	494115
11	5977	492161
12	6597	500927
13	7045	496191
14	7398	485821
15	7770	477912
16	8200	474162
17	8955	488547
18	9400	485369
19	9807	480585
20	10224	476660
21	10592	470873
22	11282	479269
23	11639	473342
24	12031	469247
25	12402	464617
26	12774	460337
27	13151	456551
28	13749	460369
29	14098	455853
30	14443	451485
31	14824	448430
32	15385	450843
33	15820	449495
34	16314	449815
35	16643	445680
36	17095	444936
37	17605	445698
38	18104	446120
39	18524	444599
40	18967	443644
41	19318	440635
42	19721	438921
43	20054	435720
44	20492	434900
45	20803	431440
46	21340	432705
47	21830	432973
48	22138	429664
49	22614	429671
50	22997	427940
51	23292	424632
52	23758	424517
53	24041	421171
54	24333	418088
55	25030	421939
56	25469	421364
57	25767	418493
58	26216	418137
59	26454	414456
60	26828	412985
61	27214	411729
62	27506	409104
63	27927	408436
64	28342	407689
65	28710	406302
66	29099	405225
67	29493	404227
68	29836	402569
69	30191	401112
70	30584	400179
71	30956	398998
72	31338	397957
73	31703	396721
74	32101	395919
75	32536	395571
76	32879	394130
77	33162	392001
78	33827	394372
79	34345	394973
80	34733	394074
81	35092	392868
82	35339	390434
83	35666	388938
84	35996	387492
85	36325	386063
86	36650	384618
87	37016	383620
88	37422	383054
89	37800	382200
90	38185	381439
91	38614	381106
92	39080	381144
93	39487	380588
94	39907	380166
95	40441	380828
96	40761	379456
97	41148	378735
98	41502	377715
99	41809	376283
100	42221	375814
101	42590	374963
102	42790	372654
103	43392	373845
104	43719	372653
105	44057	371579
106	44364	370256
107	44889	370754
108	45186	369366
109	45610	369030
110	46035	368700
111	46468	368432
112	47070	369483
113	47340	367930
114	47888	368534
115	48278	367913
116	48734	367801
117	49025	366448
118	49217	364373
119	49680	364321
120	50147	364294
121	50477	363274
122	50890	362853
123	51294	362369
124	51681	361768
125	52038	360965
126	52580	361438
127	52972	360872
128	53505	361267
129	53879	360576
130	54251	359884
131	54701	359700
132	55110	359253
133	55557	359048
134	55943	358450
135	56298	357660
136	56664	356944
137	56933	355627
138	57306	354968
139	57762	354824
140	58235	354779
141	58661	354445
142	59193	354744
143	59493	353654
144	60057	354129
145	60355	353037
146	60791	352754
147	61075	351595
148	61364	350480
149	61929	350936
150	62469	351234
151	62865	350724
152	63142	349552
153	63527	348986
154	63838	348022
155	64097	346785
156	64582	346769
157	64802	345339
158	65312	345458
159	65783	345363
160	66131	344623
161	66593	344480
162	66928	343673
163	67352	343334
164	67549	341840
165	67930	341290
166	68474	341552
167	68754	340499
168	69159	340070
169	69524	339444
170	69907	338910
171	70303	338437
172	70911	338983
173	71643	340100
174	72083	339822
175	72434	339126
176	72735	338201
177	73234	338197
178	73505	337139
179	73828	336329
180	74154	335539
181	74485	334775
182	74857	334198
183	75242	333685
184	75626	333167
185	76025	332713
186	76328	331846
187	76679	331190
188	76950	330196
189	77344	329729
190	77798	329522
191	78145	328861
192	78623	328753
193	79016	328283
194	79359	327612
195	79793	327318
196	80320	327397
197	80731	327002
198	81069	326316
199	81406	325627
200	81867	325435
201	82169	324610
202	82590	324260
203	82930	323592
204	83252	322858
205	83456	321671
206	83748	320835
207	84170	320497
208	84620	320263
209	84875	319291
210	85232	318714
211	85559	318024
212	85870	317275
213	86348	317149
214	86636	316322
215	87072	316041
216	87419	315435
217	87731	314705
218	88186	314491
219	88478	313697
220	88806	313034
221	89182	312540
222	89586	312145
223	89933	311556
224	90364	311256
225	90863	311188
226	91265	310785
227	91618	310216
228	91892	309386
229	92262	308878
230	92734	308714
231	93156	308379
232	93554	307968
233	93768	306950
234	94103	306337
235	94332	305382
236	94888	305483
237	95228	304890
238	95598	304395
239	95922	303753
240	96264	303172
241	96636	302686
242	97024	302253
243	97458	301961
244	97778	301317
245	98047	300518
246	98466	300184
247	98822	299656
248	99334	299599
249	99760	299282
250	100047	298547
251	100395	297999
252	100888	297879
253	101165	297125
